Date,country,fuel_type,price_type,price_per_1000l
2020-06-22,EU,euro95,with_tax,1248.794196375336
2020-06-15,EU,euro95,with_tax,1231.608911129147
2020-06-08,EU,euro95,with_tax,1219.055207807775
2020-06-01,EU,euro95,with_tax,1206.1161100176432
2020-05-25,EU,euro95,with_tax,1194.40736131651
2020-05-18,EU,euro95,with_tax,1176.6178875577716
2020-05-11,EU,euro95,with_tax,1167.8269833063855
2020-05-04,EU,euro95,with_tax,1160.5849966807923
2020-04-27,EU,euro95,with_tax,1167.3578029693665
2020-04-20,EU,euro95,with_tax,1189.1840595391589
2020-04-06,EU,euro95,with_tax,1205.853749237965
2020-03-30,EU,euro95,with_tax,1223.3116865567272
2020-03-23,EU,euro95,with_tax,1250.9436497315733
2020-03-16,EU,euro95,with_tax,1303.5279838855813
2020-03-09,EU,euro95,with_tax,1361.622811691603
2020-03-02,EU,euro95,with_tax,1382.6498580489067
2020-02-24,EU,euro95,with_tax,1405.0892242021157
2020-02-17,EU,euro95,with_tax,1400.0247407208576
2020-02-10,EU,euro95,with_tax,1398.5153630371562
2020-02-03,EU,euro95,with_tax,1404.3842412519416
2020-01-27,EU,euro95,with_tax,1414.5987746239034
2020-01-20,EU,euro95,with_tax,1421.993372336218
2020-01-13,EU,euro95,with_tax,1426.9989230300694
2020-01-06,EU,euro95,with_tax,1431.2172104873794
2019-12-16,EU,euro95,with_tax,1419.545784811922
2019-12-09,EU,euro95,with_tax,1420.6511953492682
2019-12-02,EU,euro95,with_tax,1420.7686592123284
2019-11-25,EU,euro95,with_tax,1418.513646349698
2019-11-18,EU,euro95,with_tax,1417.042123286276
2019-11-11,EU,euro95,with_tax,1417.4401770330076
2019-11-04,EU,euro95,with_tax,1411.7547154656909
2019-10-28,EU,euro95,with_tax,1408.5823547859334
2019-10-21,EU,euro95,with_tax,1412.8252362194091
2019-10-14,EU,euro95,with_tax,1413.5317039061545
2019-10-07,EU,euro95,with_tax,1415.5595935254962
2019-09-30,EU,euro95,with_tax,1419.6983204586568
2019-09-23,EU,euro95,with_tax,1422.2267575557482
2019-09-16,EU,euro95,with_tax,1408.5631905874618
2019-09-09,EU,euro95,with_tax,1408.0602130461573
2019-09-02,EU,euro95,with_tax,1403.8429193447844
2019-08-26,EU,euro95,with_tax,1409.4537618596707
2019-08-19,EU,euro95,with_tax,1413.2606482101742
2019-08-12,EU,euro95,with_tax,1416.5149884648868
2019-08-05,EU,euro95,with_tax,1435.43061442801
2019-07-29,EU,euro95,with_tax,1438.721959504828
2019-07-22,EU,euro95,with_tax,1438.6852775732264
2019-07-15,EU,euro95,with_tax,1445.2708195862997
2019-07-08,EU,euro95,with_tax,1435.0104760104348
2019-07-01,EU,euro95,with_tax,1435.5289560450371
2019-06-24,EU,euro95,with_tax,1435.5163542943876
2019-06-17,EU,euro95,with_tax,1443.0651052924663
2019-06-10,EU,euro95,with_tax,1457.7141543038829
2019-06-03,EU,euro95,with_tax,1486.5071079251168
2019-05-27,EU,euro95,with_tax,1490.626577632223
2019-05-20,EU,euro95,with_tax,1485.5355292246147
2019-05-13,EU,euro95,with_tax,1479.3565381421745
2019-05-06,EU,euro95,with_tax,1486.4052384920703
2019-04-29,EU,euro95,with_tax,1475.5523859014063
2019-04-15,EU,euro95,with_tax,1453.0877180986622
2019-04-08,EU,euro95,with_tax,1431.5710665268257
2019-04-01,EU,euro95,with_tax,1412.1210152645756
2019-03-25,EU,euro95,with_tax,1395.0751920231612
2019-03-18,EU,euro95,with_tax,1378.1831900678212
2019-03-11,EU,euro95,with_tax,1373.5611231556811
2019-03-04,EU,euro95,with_tax,1367.4406819527026
2019-02-25,EU,euro95,with_tax,1356.8323720445237
2019-02-18,EU,euro95,with_tax,1349.0760185609265
2019-02-11,EU,euro95,with_tax,1338.5192665116765
2019-02-04,EU,euro95,with_tax,1338.0241544892397
2019-01-28,EU,euro95,with_tax,1339.8049632648035
2019-01-21,EU,euro95,with_tax,1336.5366991289889
2019-01-14,EU,euro95,with_tax,1333.5583824683993
2019-01-07,EU,euro95,with_tax,1330.2853384075847
2018-12-17,EU,euro95,with_tax,1364.046347890146
2018-12-10,EU,euro95,with_tax,1376.8323493788944
2018-12-03,EU,euro95,with_tax,1399.0183185056303
2018-11-26,EU,euro95,with_tax,1424.6421183057591
2018-11-19,EU,euro95,with_tax,1444.6596608177697
2018-11-12,EU,euro95,with_tax,1466.2954865404038
2018-11-05,EU,euro95,with_tax,1481.5103942635014
2018-10-29,EU,euro95,with_tax,1480.07980978837
2018-10-22,EU,euro95,with_tax,1480.8060777947824
2018-10-15,EU,euro95,with_tax,1486.0127258271932
2018-10-08,EU,euro95,with_tax,1490.270732350991
2018-10-01,EU,euro95,with_tax,1475.006253356842
2018-09-24,EU,euro95,with_tax,1475.1801865647392
2018-09-17,EU,euro95,with_tax,1480.7519157513143
